content,score,cleaned_text
"Saya pesan makanan dengan estimasi yang terlambat sangat lama, mana nggk bisa di cancel, seharusnya ada opsi untuk pembeli go food kalau waktu jauh melebihi estimasi bisa di cancel, atau setidaknya ada room chat buat pembeli dan pihak resto buat berpesan, terlambat hampir 1 jam itu apa maksudnya ??? Kalo memang resto atau driver nggak bisa on time langsung beri info biar saya tidak menunggu lama !!!! Kalo memang tidak bisa setidaknya ngomong !!! Biar saya punya opsi cari di tempat lain !!!",1,pesan makan estimasi lambat nggk cancel opsi beli go food lebih estimasi cancel room chat beli resto pesan lambat jam maksud kalo resto driver nggak on time langsung info biar tunggu kalo ngomong biar opsi cari
"Jelas"" saya tidak pernah telat bayar paylater, malah tiba2 akun anda sedang di-review krna ada transaksi mencurigakan, disuruh check secara berskala tpi sampai sekrang belum bisa, mau ke ""layanan bantuan"" CS eh malah BOT, makin lah engga jelas ini. Tolong klo ada layanan CS, yg bisa di komunikasi keluhannya bukan hanya BOT, itu tidak menyelesaikan masalah.",1,telat bayar paylater akun direview krna transaksi curiga suruh check skala tpi sekrang layan bantu cs eh bot engga tolong klo layan cs yg komunikasi keluh bot selesai
"Pesanan lama banget di antar, nunggu ampe 1 jam lebih gak sampe sampe pesanannya mana ongkirnya malah banget lagi. Makin lama makin mahal. Dan di tunggu pesanannya 14 menit lagi tapi dah nunggu hampir 1 jam lebih bener bener Aplikasi sampah mana gak bisa chat resto.",1,pesan banget nunggu ampe jam gak sampe sampe pesan ongkirnya banget mahal tunggu pesan menit dah nunggu jam bener bener aplikasi sampah gak chat resto
"Untuk apk gojek yang TERHORMAT Kenapa ya dengan go car skrg ??? Pada nggak mau ambil orderan dengan alasan TARIF TIDAK SESUAI !!! Kalau kalian gk mau dengan tarif segitu . Gak usah ikut gocar .. malah semua minta order offline aja dgn tarif 50rb padahal tujuanku cuma 1,4km dari titik jemput .. khusus untuk sopir go car . Intinya Gak usah ikut aplikasi kalau gak mau tarif segituuu. Toh kita milih juga sesuai dengan tarif di Apk kok !!!!!!!!!!",2,apk gojek hormat ya go car skrg nggak ambil order alas tarif sesuai gk tarif segitu gak gocar order offline aja dgn tarif rb tuju km titik jemput khusus sopir go car inti gak aplikasi gak tarif segituuu milih sesuai tarif apk
"draft alamat penerima & pengirim untuk GoSend sudah disetting dan disave, tapi kenapa kalau besokannya mau pakai draft yang sama selalu ga ada pilihan draft-nya di bawah form pengisian alamat pengirim & penerima? plis lah, percuma dong buat draft malah harus setting-setting lagi",2,draft alamat terima kirim gosend disetting disave besok pakai draft ga pilih draftnya form isi alamat kirim terima plis draft settingsetting
"Fitur Gosend terkadang sulit sekali dapatkan Driver untuk ambil barang. Di coba berkali². Keterangan aplikasi ada perubahan harga karena area padat. Harga di sesuaikan masih relevanlah, tidak masalah. Aplikasi selalu menolak setiap kali mencoba lagi.",1,fitur gosend terkadang sulit dapat driver ambil barang coba kali terang aplikasi ubah harga area padat harga sesuai relevan aplikasi tolak kali coba
"Tolong dong diperbaharui lagi system nya , masa setiap pesen gofood , gojek sama gocar selalu gak sesuai maps sama yang aku ketik manual. Padahal alamat nya sesuai tapi titik nya selalu tidak sesuai. Iya kalau dapet driver yang pengertian , udah bayar masih di maki-maki sama driver nya ! Padahal kesalahan dari aplikasi gojeknya !!",5,tolong baharu system nya sen gofood gojek gocar gak sesuai maps ketik manual alamat nya sesuai titik nya sesuai iya dapet driver erti udah bayar makimaki driver nya salah aplikasi gojek
"tolong fitur pencarian drivernya segera diperbaiki, setiap kali memesan selalu saja dapat driver yang lokasinya terlampau jauh, padahal dilokasi pemesanan banyak sekali driver yang lebih dekat, tapi selalu saja malah dapet driver yang kejauhan.",1,tolong fitur cari drivernya baik kali mes driver lokasi lampau lokasi mesan driver dapet driver jauh
"Udah lebih 10 tahun lho jadi user apps ini, udah verifikasi segala macam. Masih saja, setiap top up saldo oneklik harus saja verifikasi kode OTP dimana harus bayar PULSA !!! tolong lah dingertiin, ada beberapa orang seperti saya yang 1 SIM/Nomornya mmang hanya digunakan untuk apps saja, dan pulsa tidak selalu standby. Yang selalu standby di SIM yg lain. Selain itu jika tiap minggu top up harus verifikasi, meskipun tidak banyak satuannya tapi kan jika diakumulasi akan menghabiskan pulsa tsb.",1,udah lho user apps udah verifikasi top up saldo oneklik verifikasi kode otp mana bayar pulsa tolong dingertiin orang simnomornya mmang apps pulsa standby standby sim yg minggu top up verifikasi satu akumulasi habis pulsa tsb
"Kecewa banget sama gojek, jika ada promo tidak dijelaskan harus bagaimana pada iklan yang tersedia,, alhasil cashback tidak masuk.. Tidak seperti aplikasi sebelah, tinggal scan, bayar, cashback langsung masuk tidak perlu menunggu 2x24jam.. memang lebih oke pesaingnya",5,kecewa banget gojek promo iklan sedia alhasil cashback masuk aplikasi belah tinggal scan bayar cashback langsung masuk tunggu x jam oke saing
"tolong dong diperbaiki saya pesen makanan dengan estimasi 45 mnt namun sering telat, kadang Driver"" sering cancel begitu aja dan Juga pemberitahuan dapat driver dan cancel itu lumayan lama dan saya udah nunggu lama. terkadang udah nunggu lama banget tiba"" ada pemberitahuan ""seperti semua driver sedang sibuk""Astagah sumpah kita nunggu dari lama kadang lebih sejaman setidaknya kalo nggak bisa dari awal kasih pemberitahuan kami lebih awal, jadi kami nggak nunggu lama bukan malah tiba tiba dicancel!",1,tolong baik sen makan estimasi mnt telat kadang driver cancel aja pemberitahuan driver cancel lumayan udah nunggu terkadang udah nunggu banget pemberitahuan driver sibukastagah sumpah nunggu kadang jam kalo nggak kasih pemberitahuan nggak nunggu dicancel
"GOFOOD tidak profesional, sudah nunggu lama sekali, tidak mendapat driver. Dan di batalkan sepihak oleh gofood. Harusnya tidak usah kasih promo ( kasihan yg pesan dan juga kasihan drivernya ). Jangan malah buat alasan sepertinya yg pesan salah, kenapa pilih yg hemat ( terus dibatalkan otomatis setelah menunggu hampir 2 jam ) !!!!",1,gofood profesional nunggu driver batal gofood kasih promo kasihan yg pesan kasihan drivernya alas yg pesan salah pilih yg hemat batal otomatis tunggu jam
"Next tolong ditingkatkan lagi sistemnya min tadi saya pesan gocar dan menaiki taksi yg sesuai dengan aplikasi...eh setelah saya sampai tujuan entah kenapa aplikasi gocar saya pesan gocar lain, padahal taksi yg saya naiki sesuai aplikasi 🫠 dan saya tidak pesan double gocar... sistemnya tolong lebih canggih lagi, karena saya gk double klik pesanan saat itu",3,next tolong tingkat sistem min pesan gocar taksi yg sesuai aplikasieh tuju aplikasi gocar pesan gocar taksi yg naik sesuai aplikasi  pesan double gocar sistem tolong canggih gk double klik pesan
"Tolong dong kasi otomatis batalkan pesanan gofood kalau udh terlalu lama gak dapat driver, sudah terlalu lapar suruh nunggu 1 jam an untuk dapatin driver, kan buang² waktu namanya. payah aplikasinya, mana ongkirnya mahal sekali, dan pelit voucher. Menyesal aku pakai aplikasi ini lagi!",1,tolong kasi otomatis batal pesan gofood udh gak driver lapar suruh nunggu jam an dapatin driver buang nama payah aplikasi ongkirnya mahal pelit voucher sesal pakai aplikasi
"Buat manajemen gojek, percuma banget kasih promo atau discount atau potongan harga, percuma banget bersaing dengan potongan harga karna dampak bagi kami pemakai aplikasi tidak puas malah lebih dapat pelayanan yang sangat buruk, saya termasuk pengguna aktif gojek bahkan untuk paylather saya sangat tinggi, kami rela membayar lebih bahkan tidak masalah dengan catatan pelayanan bagus, percuma potongan discount atau promo, uang tips kami lebih besar dari potongan2 itu semua",1,manajemen gojek banget kasih promo discount potong harga banget saing potong harga karna dampak pakai aplikasi puas layan buruk guna aktif gojek paylather rela bayar catat layan bagus potong discount promo uang tips potong
"Performa gak oke terutama untuk gofood, sistem resto terima order lebih dulu baru mencari driver tidak efisien, berkali kali order sudah nunggu berjam jam pesanan gak bisa di batalin, di tunggu tidak ada kejelasan tiba-tiba malah pihak resto yang ngebatalin kecewa banget!",1,performa gak oke gofood sistem resto terima order cari driver efisien kali kali order nunggu jam jam pesan gak batalin tunggu jelas tibatiba resto ngebatalin kecewa banget
Pesan makanan malam hari tpi pesanan terlalu lama datang sampai ganti 3x driver dan status telat...saat ingin membatalkan pesanan tidak bisa dan respon cs gitu2 saja..tolong di perbaiki!,1,pesan makan malam tpi pesan ganti x driver status telatsaat batal pesan respon cs gitu sajatolong baik
"GoCar drivernya sombong-sombong. Gamau ngambil argo di bawah Rp 50k padahal orderan saya selalu di atas Rp 25k. Saya bisa dicancel sampai 7 kali baru ada yang mau, itupun karena marathon. Padahal harga gak jauh beda sama GrabCar, tapi kalau pake GrabCar saya langsung dapet driver yg mau. Sistem aplikasinya juga keren tampilannya doang, fungsionalitasnya 0!",1,gocar drivernya sombongsombong gamau ngambil argo rp k order rp k dicancel kali itu marathon harga gak beda grabcar pake grabcar langsung dapet driver yg sistem aplikasi keren tampil doang fungsionalitas
"Mencabut hak pengguna tanpa itikad baik minimal berupa pemberitahuan dan alasan sebelumnya untuk bisa menggunakan layanan gopaylater setelah pihak mereka sendiri yg baru saja mengaktifkannya dengan pemberitahuan masuk yg begitu jelas. Benar benar perusahaan yg terlalu addict dengan sifat kekanak kanakan, subjektivitas dan terindikasi mengalami gangguan anxiety dalam menjalankan fungsi layanan & aturan/kebijakan di banyak platform yg mereka miliki.",1,cabut hak guna itikad minimal pemberitahuan alas layan gopaylater yg aktif pemberitahuan masuk yg usaha yg addict sifat kekanak kana subjektivitas indikasi alami ganggu anxiety jalan fungsi layan aturankebijakan platform yg milik
"Tolong tambah feature agar kami bisa memilih driver yang siap jadi nggak semua ngacak dan akhirnya kecewa. Bila memungkinkan, tambahkan menu agar kami bisa berlangganan dengan driver pilihan kami Lebih mahal tiada mengapa, yang penting tidak kecewa",3,tolong feature pilih driver nggak ngacak kecewa tambah menu langgan driver pilih mahal tiada kecewa
"Pakai aplikasi kendaraan online berharap mempermudah mobilitas. Pada kenyataan ketika hujan turun yg namanya mobil & motor syusyah syekali dicari, yg ada di cancel trus 😭 tolong klo nyari rekan driver mobil yg beneran nyari kerja bukan iseng aja ngisi waktu...",2,pakai aplikasi kendara online harap mudah mobilitas nyata hujan turun yg nama mobil motor syusyah syekali cari yg cancel trus  tolong klo nyari rekan driver mobil yg beneran nyari kerja iseng aja ngisi
"ada error dimana diskon voucher tidak bisa dipakai, padahal pada penjelasan nya tanpa minimum pembelanjaan, tetapi ketika ingin dipakai tidak dapat dipakai dan total harga masih sama, voucher diskon nya yaitu diskon untuk biaya pengiriman pada ""gomart""",4,error mana diskon voucher pakai jelas nya minimum belanja pakai pakai total harga voucher diskon nya diskon biaya kirim gomart
"Mohon untuk bagian per-iklanan jangan biasakan langsung masuk ke aplikasi apa lagi langsung ke produk. Saya mengalami eror sistem yang mana melakukan transaksi tanpa saya pencet sendiri, baiknya dari pihak resto mau membatalkan mengingat kondisi sedang hujan yang mana susah mencari driver",1,mohon iklan biasa langsung masuk aplikasi langsung produk alami eror sistem transaksi pencet baik resto batal kondisi hujan susah cari driver
Sebenernya aplikasinya bagus cuma kesel aja kalo order makanan pas hujan pasti di cancle mulu padahal udah nungguin lama banget nahan laper tiba tiba di cancle karena gak ada yg mau pickup. Kesel banget kurirnya gak pada mau anter padahal pasti di kasih tips. Ngluapin kekeselan aja orang lagi laper laper kirain kalo ujan pake aplikasi gojek gini memudahkan ternyata emang paling bener beli sendiri aja ke resto pake mantel.,1,sebenernya aplikasi bagus kesel aja kalo order makan pas hujan cancle mulu udah nungguin banget nahan laper cancle gak yg pickup kesel banget kurir gak anter kasih tips ngluapin kesel aja orang laper laper kirain kalo ujan pake aplikasi gojek gin mudah emang bener beli aja resto pake mantel
Saya pakai gojek udah lama cuman akhir - akhir ini kecewa berat. Drivernya banyak yang gak sopan. Terutama goride. Datangin rumah customer karena pesanannya di cancel dengan alasan akan susah dapat orderan lagi. Padahal itu hak customer di karenakan hal gak mengenakkan terjadi dengan driver yang sama. Awalnya saya masih memaklumi. Tapi lama - lama saya muak. Partner driver anda tidak sopan. Dan cukup kedepannya saya tidak akan pernah pakai gojek lagi....!!!!!!!!,1,pakai gojek udah cuman kecewa berat drivernya gak sopan goride datangin rumah customer pesan cancel alas susah order hak customer karena gak enak driver maklum muak partner driver sopan depan pakai gojek
"Udah ke 3 kalinya saya order malaj double, ujungnya saya kasihan kl cancel dan 22nya jalan. Segera perbaiki. Jika terjadi ke 4 kalinya saya gak akan gunakan gojek dan gopay lagi. Saya alihkan seluruhnnya ke aplikasi lain",1,udah kali order malaj double ujung kasihan kl cancel nya jalan baik kali gak gojek gopay alih seluruhnnya aplikasi
"Pantesan aja metode pembayaran melalui kartu kredit debit, GOPAY, Gopay tabungan by bank jago,blu by BCA digital,linkAja,kantong jago, BRI direct debit dan tunai. Bagi yang belum pernah dan belum punya e-wallet, rekening bank,belum punya kartu kredit debit dan kartu ATM gimana dong 🤣 ujung-ujungnya malah kayak merasa miskin dan tidak tahu diri memakai Go-Jek transportasi ini. Dahlah rada aneh banget liat ini dan kayaknya bakal dipersulit metode pembayaran apapun hasilnya 🤣🥲🤦🏻‍♀️😭🤔",4,pantesan aja metode bayar kartu kredit debit gopay gopay tabung by bank jagoblu by bca digitallinkajakantong jago bri direct debit tunai ewallet rekening bankbelum kartu kredit debit kartu atm gimana  ujungujungnya kayak miskin pakai gojek transportasi dah rada aneh banget liat kayak sulit metode bayar apa hasil 
"Pesen gojek tapi drivernya ndak ada konfirmasi sama sekali sampai 5 menit. Aku cancel, nyari lagi driver kurang lebih 7 menit ndak dapet dapet, aku cancel lagi malah tarifnya naik. Dapet lagi alasan ban bocor dan customer harus cancel lagi dan TARIF NAIK LAGI 10RB jadi total kenaikan 20RB. Tolong ya dibenahi, dikasih opsi alasan yang tidak merugikan customer, sudah menunggu lama-lama malah harga naiknya ngawur. Iya kalau lokasi deket, lokasi jauh, harga mahal malah naik.",2,sen gojek drivernya ndak konfirmasi menit cancel nyari driver menit ndak dapet dapet cancel tarif dapet alas ban bocor customer cancel tarif rb total naik rb tolong ya benah kasih opsi alas rugi customer tunggu lamalama harga naik ngawur iya lokasi deket lokasi harga mahal
"Mohon sistemnya diperbaiki, di gofood ada fitur express. Tapi tetap saja harus menunggu lama. Kadang udah pakai fitur express tapi driver tidak mau mengambil pesanan, sampai ganti 5 driver",1,mohon sistem baik gofood fitur express tunggu kadang udah pakai fitur express driver ambil pesan ganti driver
"Kenapa sih driver gocar skrg pada arogan, dan ga sopan, kemarin saya pesan gocar brngkt pagi masih aman, driver gocar ny sopan baik, pulang ny sore saya pesan gocar lagi, org ny agak tua nyetir ny cepet bngt, nyalip"" kendaraan lain, kaki tangan saya udh agak dingin-, saran sih harus ny pelan aja gpp yg penting slmt smpe tujuan.",3,sih driver gocar skrg arogan ga sopan kemarin pesan gocar brngkt pagi aman driver gocar ny sopan pulang ny sore pesan gocar org ny tua nyetir ny cepet bngt nyalip kendara kaki tangan udh dingin saran sih ny pelan aja gpp yg slmt smpe tuju
Kali ini kedapatan error system. Dounble gocar yg tdk dipesan. Kita sdh smpai tujuan. Tiba2 gocar slanjutnya telpon dan infokan sdh tiba di lokasi jemput. Padahal tdk pesan. Minta bayaran karena gak ada pilihan utk cancel. Tolong dong system d prbaiki. Karena kita harus bayar double. Trimakasih,2,kali dapat error system dounble gocar yg tdk pes sdh smpai tuju gocar slanjutnya telpon info sdh lokasi jemput tdk pesan bayar gak pilih utk cancel tolong system d prbaiki bayar double trimakasih
"Posisi driver selalu jauh,terlalu lama menunggu dan kasihan drivernya Karena jemput terlalu jauh driver sering mnta cancel jadinya berkali kali mesan,kenapa selalu kasih ke driver yg jauh padahal yg dekat juga banyak",2,posisi driver jauhterlalu tunggu kasihan drivernya jemput driver mnta cancel kali kali mesankenapa kasih driver yg yg
"-Kebanyakan update -Banyak dikenakan biaya pelayanan ini dan itu -Persiapan waktu utk persiapan makanan di gofood terutama warung nya lama bisa sampe 1 jam -Estimasi waktu pengiriman jg lama -Kenapa semakin kesini, semakin mahal? -dari pada keseringan update, mgkin isa d tambahkan penilaian utk driver yg membatal kn orderan konsumen",1,banyak update kena biaya layan siap utk siap makan gofood warung nya sampe jam estimasi kirim jg kesini mahal sering update mgkin isa d tambah nilai utk driver yg batal kn order konsumen
Waktu tunggu makanan sangat lama. Pesanan instan aja nunggu 45 menit baru cari driver. Setelah dapat driver masih nunggu 30 menit baru jalan. Kami sebagai customer bayar mahal untuk pelayanan tapi sangat buruk. Ketahuan betul pesanan kita harus nunggu sampai dapat 2 orderan ojolnya biar aplikasi dapat banyak.,1,tunggu makan pesan instan aja nunggu menit cari driver driver nunggu menit jalan customer bayar mahal layan buruk tahu pesan nunggu order ojolnya biar aplikasi
"Sekarang pesan gocar selalu banyak drama. Setelah dapat driver, driver selalu cancel, pernah juga pesan gocar pakai tunai setelah sudah mengantarkan ke tujuan, driver cancel pesanan dan akhirnya dialihkan ke driver lain, padahal lagi dalam mode mengantar. Setelah sampai tujuan ada yang telepon dan ternyata gojek. Hapus aja ini lama2 aplikasinya. Tidak berguna. Lebih baik grab",1,pesan gocar drama driver driver cancel pesan gocar pakai tunai antar tuju driver cancel pesan alih driver mode antar tuju telepon gojek hapus aja aplikasi guna grab
"Kecewa banget, tadinya banyak promo tapi setelah terlalu sering digunakan jadi hilang promo nya, mahal pula, sering ga dapet driver pula padahal banyak aja driver yg terbaca di map, entah karena driver nya pada males atau ga cepat tanggep utk wilayah kota Palangkaraya, gimana tuh jadinya? mending pindah ke aplikasi sebelah.",1,kecewa banget promo hilang promo nya mahal ga dapet driver aja driver yg baca map driver nya males ga cepat tanggep utk wilayah kota palangkaraya gimana tuh mending pindah aplikasi belah
"Mengganggu banget plis iklannya, setiap ke aplikasi dan ada iklan gofood selalu saja saat tekan tanda silang malah pergi ke websitenya. Maksa banget, berkali2 ditekan pun sama aja, bikin ga nyaman dan emosi.",1,ganggu banget plis iklan aplikasi iklan gofood tekan tanda silang pergi websitenya maksa banget kali tekan aja bikin ga nyaman emosi
"Tolong dong di upgrade sistem go food. Saya sudah menunggu lama tp malah tidak dapat driver akhirnya pesanan dibatalkan dan saya harus menunggu lama lagi. Kurang update, restoran sebenarnya sudah tutup tp tidak terlihat tulisan ""tutup"" pada awal pemesanan sehingga sudah nunggu lama tetapi akhirnya dibatalkan....itu membuang2 waktu",2,tolong upgrade sistem go food tunggu tp driver pesan batal tunggu update restoran tutup tp tulis tutup mesan nunggu dibatalkanitu buang
Masa ia aplikasi besar mau chat dengan costumer service livenya gak bisa harus cuma lewat Gmail saja aneh. sengaja di buat begitu biar kita di persulit dan mereka gak mau repot karena kita banyak mengadu aplikasi sudah di awasi oleh kepemerintahan tetapi kerjanya tidak maksimal hanya mau tau untungnya saja. Parah!,1,aplikasi chat costumer service livenya gak gmail aneh sengaja biar sulit gak repot adu aplikasi awas perintah kerja maksimal tau untung parah
"Akun gopaylater saya aktif lagi tapi saldo limit saya tadi ada 8000000 sekarang berkurang jadi 2000000 karena telat bayar lalu pembayaran cicilannya 12 bulan sekarang hanya bisa 3 bulan kalau bisa cicilannya seperti semula bisa 1,3,6,12 bulan tolong gopaylater tokopedia",5,akun gopaylater aktif saldo limit kurang telat bayar bayar cicil cicil tolong gopaylater tokopedia
"Saya tidak tau pasti apa alasan para driver. Di waktu tertentu Sering tidak mau ambil orderan padahal di sekitar lokasi jemput ada beberapa driver. Penyampaian Sistem selalu driver sibuk atau banyak yg order Tolong dong sistem jangan pilih2 driver juga, sering saya lihat di setiap jalan suka banyak driver yg standby Jangan sampai costumer berasumsi ada DARK SYSTEM Di aplikasi ini",1,tau alas driver ambil order lokasi jemput driver sampai sistem driver sibuk yg order tolong sistem pilih driver lihat jalan suka driver yg standby costumer asumsi dark system aplikasi
Ga pernah telat bayar gopaylater udah sering kena review trs diblokir tapi ga selama sekarang udah 1 bulan di hold ga bisa dipakai buat transaksi gojek/tokopedia suruh cek secara berkala yg jawab komputer dulu masih bisa email skrng via aplikasi yg ga ada solusinya..payah..,1,ga telat bayar gopaylater udah kena review trs blokir ga udah hold ga pakai transaksi gojektokopedia suruh cek kala yg komputer email skrng via aplikasi yg ga solusinyapayah
"Bagus, sangat memudahkan. Tapi tolong lebih disesuaikan lagi titik aplikasi buat pengantaran/penjemputan biar driver ga bingung",5,bagus mudah tolong sesuai titik aplikasi pengantaranpenjemputan biar driver ga bingung
"Tolong dong untuk gofood ""pembatalan pesan"" diperbaiki lagi kedepannya misal dikasih waktu 2-5 menit setidaknya. Karena ketika tidak sengaja untuk melakukan pembelian pesanan terus ingin membatalkan pesanan lagi sudah tidak bisa karena cepatnya proses waktu ""pembatalan pesan"" tersebut. Sebelumnya terimakasih dan mohon segera diperbaiki yaa",3,tolong gofood batal pesan baik depan kasih menit sengaja beli pesan batal pesan cepat proses batal pesan terimakasih mohon baik yaa
"saya agak kecewa sih, kenapa sekarang saat saya pesan ""kendala nya selalu sulit saat mendapatkan driver"" ,telat nya juga lama banget saya nunggu satu dan akhirnya di cancel ini kejadian bukan sekali atau dua kali tadi berkali-kali",1,kecewa sih pesan kendala nya sulit driver telat nya banget nunggu cancel jadi kali berkalikali
"Parah, diaplikasi 18 menit tapi aslinya sejam lebih 28 menit. Orang laper keburu pingsan, mana orderan nggak jalan, dibatalin nggak bisa. Terlanjur nggak pesen makan lainnya eh malah dibatalin alasan nggak dapet driver. PARAH!!! 4x kejadiannya sama kayak gini.",1,parah aplikasi menit asli jam menit orang laper keburu pingsan order nggak jalan dibatalin nggak lanjur nggak sen makan eh dibatalin alas nggak dapet driver parah x jadi kayak gin
"Halo saran ini kenapa sekarang ga bisa pesan lain tempat kalau bisa Jangan di bikin automatis dong alamat awal kalau tujuan gpp jadi mau pesanin orang lain dari alamat yang berbeda selain lokasi ga bisa, sudah ketik berulang² tetap aja dari lokasi automatis",2,halo saran ga pesan bikin automatis alamat tuju gpp pesanin orang alamat beda lokasi ga ketik ulang aja lokasi automatis
"Diaktifkan, notifikasi muncul terus. Kalau tidak diaktifkan, status orderan tidak terpantau.. Bisa kan kurang2i mengirimkan hal2 tidak penting 🥲",4,aktif notifikasi muncul aktif status order pantau i kirim 
"Saya kasih bintang 3, saran buat apk ini ya aku bberapa kali pesen makanan cari driver ga nyangkut, waktu 1 jam nunggu, kalo bisa apk ini ya max 30 menit biar customer nunggu gak lama bisa order ulang kalo 1jam ga dpt driver d cancel mau pesen lagi males, keburu ilang lapernya",3,kasih bintang saran apk ya bberapa kali sen makan cari driver ga nyangkut jam nunggu kalo apk ya max menit biar customer nunggu gak order ulang kalo jam ga dpt driver d cancel sen males keburu ilang lapernya
